job_category,time_base,Post Id,City,area,Resume Version Sent,treatment,Server or Cook,foh_boh,Interview Requested,interview_requested_binary
Help,part-time,7605103258,portland,multnomah co,1,Man,s,FOH,Yes,1
Help,employee's choice,7605082903,portland,washington co,4,Woman,c,BOH,,0
Line Cook,full-time,7605036257,portland,multnomah co,3,Man,c,BOH,,0
Line Cook,full-time,7604843684,portland,clackamas co,4,Woman,c,BOH,,0
Head Chef,full-time,7602189120,portland,yamhill co,3,Man,c,BOH,,0
Server,employee's choice,7602135421,portland,yamhill co,2,Woman,s,FOH,,0
Server,part-time,7605089761,atlanta,atlanta,1,Man,s,FOH,,0
FOH,full-time,7605056802,atlanta,atlanta,2,Woman,s,FOH,Yes,1
Host/Hostess,part-time,7605015703,atlanta,atlanta,1,Man,s,FOH,,0
Line Cook,full-time,7604010948,atlanta,otp north,4,Woman,c,BOH,,0
Line Cook,full-time,7603964379,atlanta,otp north,3,Man,c,BOH,,0
Help,employee's choice,7603777970,atlanta,otp north,4,Woman,c,BOH,Yes,1
Host/Hostess,part-time,7605329214,SF bay area,santa cruz,1,Man,s,FOH,,0
Server,full-time,7605329059,SF bay area,north bay,2,Woman,s,FOH,Yes,1
Sous Chef,full-time,7605216376,SF bay area,south bay,3,Man,c,BOH,,0
FOH,part-time,7605214173,SF bay area,east bay,4,Woman,c,BOH,,0
Server,full-time,7605179676,SF bay area,san francisco,1,Man,s,FOH,Yes,1
Line Cook,full-time,7605173913,SF bay area,east bay,4,Woman,c,BOH,Yes,1
Line Cook,part-time,7605150633,SF bay area,san francisco,3,Man,c,BOH,,0
Help,full-time,7605141985,SF bay area,east bay,2,Woman,s,FOH,Yes,1
FOH,full-time,7605126484,SF bay area,east bay,1,Man,s,FOH,Yes,1
FOH,full-time,7605124598,SF bay area,santa cruz,2,Woman,s,FOH,Yes,1
FOH,part-time,7605528948,portland,multnomah co,1,Man,s,FOH,,0
Server,part-time,7605061940,portland,multnomah co,2,Woman,s,FOH,,0
Help,full-time,7604440262,portland,multnomah co,1,Man,s,FOH,,0
Line Cook,part-time,7604320852,portland,multnomah co,4,Woman,c,BOH,Yes,1
FOH,employee's choice,7604211671,portland,multnomah co,1,Man,s,FOH,,0
Help,employee's choice,7604036882,portland,multnomah co,2,Woman,s,FOH,,0
Line Cook,full-time,7604000892,portland,multnomah co,3,Man,c,BOH,Yes,1
Line Cook,part-time,7605373183,atlanta,atlanta,4,Woman,c,BOH,Yes,1
Line Cook,full-time,7605357508,atlanta,atlanta,3,Man,c,BOH,Yes,1
Chef,full-time,7605327824,atlanta,atlanta,4,Woman,c,BOH,,0
Line Cook,full-time,7605321668,atlanta,atlanta,3,Man,c,BOH,Yes,1
Server,full-time,7604814766,atlanta,atlanta,2,Woman,s,FOH,Yes,1
FOH,employee's choice,7604756999,atlanta,atlanta,3,Man,c,BOH,Yes,1
Host/Hostess,full-time,7604732590,atlanta,atlanta,2,Woman,s,FOH,Yes,1
Head Chef,full-time,7604698632,atlanta,atlanta,3,Man,c,BOH,,0
Server,employee's choice,7604663842,atlanta,atlanta,2,Woman,s,FOH,,0
Server,part-time,7604663521,atlanta,atlanta,1,Man,s,FOH,,0
Server,full-time,7604630693,atlanta,atlanta,2,Woman,s,FOH,,0
Line Cook,part-time,7605564578,SF bay area,east bay,3,Man,c,BOH,,0
FOH,employee's choice,7605562022,SF bay area,peninsula,2,Woman,s,FOH,,0
Server,part-time,7605552487,SF bay area,south bay,1,Man,s,FOH,,0
Line Cook,full-time,7605544873,SF bay area,south bay,4,Woman,c,BOH,,0
Server,employee's choice,7605528103,SF bay area,san francisco,1,Man,s,FOH,,0
Help,part-time,7605514285,SF bay area,santa cruz,2,Woman,s,FOH,,0
BOH,full-time,7605502272,SF bay area,east bay,3,Man,c,BOH,,0
Cashier,part-time,7605482328,SF bay area,san francisco,2,Woman,s,FOH,Yes,1
Line Cook,full-time,7605479248,SF bay area,north bay,3,Man,c,BOH,,0
Server,full-time,7605454785,SF bay area,east bay,2,Woman,s,FOH,,0
Line Cook,part-time,7605453437,SF bay area,north bay,3,Man,c,BOH,Yes,1
Server,part-time,7605441275,SF bay area,east bay,2,Woman,s,FOH,Yes,1
FOH,employee's choice,7605439520,SF bay area,north bay,1,Man,s,FOH,Yes,1
Barista,part-time,7605680043,portland,washington co,5,Nonbinary,s,FOH,,0
Chef,full-time,7605595684,portland,clark/cowlitz,6,Nonbinary,c,BOH,Yes,1
Server,employee's choice,7605481204,portland,yamhill co,5,Nonbinary,s,FOH,,0
Line Cook,full-time,7605411223,portland,clark/cowlitz,6,Nonbinary,c,BOH,,0
FOH,employee's choice,7605211182,portland,washington co,5,Nonbinary,s,FOH,,0
Line Cook,employee's choice,7603824500,portland,multnomah co,6,Nonbinary,c,BOH,,0
Line Cook,full-time,7603798460,portland,multnomah co,6,Nonbinary,c,BOH,,0
BOH,full-time,7604683490,atlanta,otp east,5,Nonbinary,s,FOH,Yes,1
Server,part-time,7604590424,atlanta,atlanta,5,Nonbinary,s,FOH,,0
Head Chef,full-time,7604534005,atlanta,otp west,6,Nonbinary,c,BOH,,0
Line Cook,part-time,7604482359,atlanta,atlanta,6,Nonbinary,c,BOH,,0
FOH,full-time,7604303312,atlanta,atlanta,5,Nonbinary,s,FOH,,0
Head Chef,full-time,7604291402,atlanta,atlanta,3,Man,c,BOH,,0
FOH,employee's choice,7604231986,atlanta,atlanta,2,Woman,s,FOH,,0
Barista,part-time,7605805890,SF bay area,san francisco,5,Nonbinary,s,FOH,Yes,1
FOH,full-time,7605751004,SF bay area,santa cruz,5,Nonbinary,s,FOH,,0
Server,full-time,7605750356,SF bay area,san francisco,5,Nonbinary,s,FOH,Yes,1
Line Cook,employee's choice,7605725886,SF bay area,north bay,6,Nonbinary,c,BOH,Yes,1
Server,full-time,7605721042,SF bay area,north bay,5,Nonbinary,s,FOH,Yes,1
Sous Chef,employee's choice,7605709525,SF bay area,north bay,6,Nonbinary,c,BOH,Yes,1
